epoch,phase,training_loss,train_iou,val_loss,val_iou
0,1,0.19571737586686175,0.32927005386081853,0.13547351454321202,0.2997456684334731
1,1,0.17718172775459604,0.3407849812368724,0.12776524821917215,0.3050967293614555
2,1,0.16897531222381768,0.36040324969080834,0.11822879410559131,0.3249058325017225
3,1,0.16660959835876304,0.3590762793732858,0.1176475420807852,0.32981202252022257
4,1,0.16441743101224565,0.3742510771035507,0.1145024097734882,0.3394786457007077
5,2,0.1466836903098451,0.3626050262583666,0.11204170534474021,0.3351348271079388
6,2,0.1367468057567054,0.350594390549872,0.11249445186507318,0.3313144635555992
7,2,0.1321150478958407,0.3617238780794694,0.1097814807114208,0.33757357187168574
8,2,0.12873631717110165,0.3664460629536424,0.10874615203736077,0.3421551185696783
9,2,0.1269316952959402,0.3679010873860233,0.10739802203298042,0.34556837235727617
10,2,0.12460091944270822,0.35418304315708915,0.1089128269730503,0.33482790356468556
11,2,0.12251076796338349,0.3740184183241112,0.10325876492539614,0.35214109628003987
12,2,0.12118991236651802,0.3680997227140779,0.10485866062316417,0.3474254347517499
13,2,0.11972861093462564,0.3703525425481696,0.10551433297254706,0.3508743220759976
14,2,0.11918670722609817,0.37408591852745154,0.10301125791978664,0.3528736020074523
15,2,0.1175718414078266,0.3748001020667729,0.10290540327521636,0.3560446887460661
16,2,0.11692432382497141,0.3656577085483455,0.10383281827400234,0.347129157153509
17,2,0.11503312913275207,0.367819958652779,0.10314663096354426,0.3495204260699638
18,2,0.11488318612255337,0.36537010619132454,0.10377002277788723,0.3472130499433018
19,2,0.11320185678901692,0.36978531670028997,0.10265659677085057,0.35083181638016925
20,2,0.11239875916281422,0.3797771990263608,0.09925418427234055,0.3604764521762889
21,2,0.11088960229335416,0.37169237859148674,0.1008506848286557,0.3531513711884885
22,2,0.11103033475869444,0.37947840063935934,0.09921813112646875,0.36174589545068775
23,2,0.11039955626860426,0.3783384727156622,0.10000187220005152,0.359699996462005
24,2,0.11011740593348185,0.374745427137494,0.10097143785714248,0.35664954749486777
